feature_set,model,MAE,RMSE,R2,fit_sec,pred_sec,n_train,n_test,num_feats,cat_feats
dist_dur_tariff_num,GradientBoosting,4.280941908949611,7.397627395918823,0.9421514187328688,0.16,0.003,752,189,5,0
all_raw,GradientBoosting,4.365388456081546,7.46475057843371,0.9410968651588552,0.193,0.003,752,189,15,0
all_raw,RandomForest,5.3478976687201305,8.021666374620834,0.931979942078931,0.455,0.05,752,189,15,0
dist_dur_tariff_num,RandomForest,5.09985685868181,8.038769653814382,0.9316895769069125,0.409,0.051,752,189,5,0
all_raw,HistGradientBoosting,5.19788379515012,10.418668619695756,0.8852554000208771,0.241,0.004,752,189,15,0
all_raw,ElasticNet,7.226127861449923,10.482743073492662,0.8838397094523143,0.009,0.003,752,189,15,0
all_raw,LinearRegression,7.248788544143509,10.539284094800207,0.8825832570286682,0.007,0.002,752,189,15,0
dist_dur_tariff_num,ElasticNet,7.200111032940178,10.587050124718273,0.8815165354049813,0.007,0.003,752,189,5,0
dist_dur_tariff_num,LinearRegression,7.231617170220187,10.60743309013123,0.8810598701124516,0.007,0.003,752,189,5,0
dist_dur_tariff_num,HistGradientBoosting,5.992361610335694,13.837930825187865,0.7975815397400133,0.239,0.005,752,189,5,0
dist_dur,LinearRegression,11.232252000219969,14.351246045199323,0.7822856641535794,0.007,0.002,752,189,2,0
dist_dur,ElasticNet,11.234290622308158,14.392807255145105,0.7810228367477154,0.006,0.002,752,189,2,0
dist_dur_fe,ElasticNet,11.356453073345731,14.49105401115843,0.7780231128967912,0.007,0.002,752,189,11,0
dist_dur_fe,LinearRegression,11.359758406028016,14.512061438572784,0.7773790543772329,0.006,0.003,752,189,11,0
dist_dur,GradientBoosting,12.04787399358737,14.890117452623736,0.7656289026874922,0.104,0.002,752,189,2,0
dist_dur_fe,GradientBoosting,12.242484963060583,15.204597612506149,0.755624497013317,0.148,0.002,752,189,11,0
dist_dur_fe,RandomForest,12.068317823326227,15.342734347192993,0.7511639278602678,0.408,0.052,752,189,11,0
dist_dur,RandomForest,12.80656869397706,15.978603603543752,0.7301108333667379,0.371,0.053,752,189,2,0
dist_dur_fe,HistGradientBoosting,13.3110387492783,17.774092723950904,0.6660490452875716,0.362,0.005,752,189,11,0
dist_dur,HistGradientBoosting,14.419590426405437,20.06958448364601,0.574220675594233,2.085,0.007,752,189,2,0
